Bom_Level,Parent Part,Part Number,Designator,Change Description,Old Version Number,New Version Number,Release Date,"Change Type (modify,remove,add)",Design/Document Change,"Change Over Process (Running, Immediate)",Old CM Part Number,New CM Part Number,Old MPN,New MPN,Old Manufacturer,New Manufacturer,Reason for Change
1,,P-1000010_Okra Cicada 2G PCBA,BOM,generated new bom file,3.2.0,3.2.1,2022-04-29,Modify,Document,immediate,N/A,N/A,N/A,N/A,N/A,N/A,bom file not updated in previous release
1,,P-1000010_Okra Cicada 2G PCBA,L4,Add alternate part,3.1.0,3.2.0,2022-04-22,Alternate,Design,Running,1102-000133-00,,FPI0403F-3R3M,CD43YP0403-3R3M,TAITEC,YJYCOIN,Supply issues resulted in the alternate being used for Run 4 (V10.1)
1,,P-1000010_Okra Cicada 2G PCBA,J4, - Replace J4 with Hirose U.FL-R-SMT-1(80) (was previously Murata Electronics MM4829-2702RA4 which is incorrect style of coax connector)   - Added test instructions,3.0.1,3.1.0,12-08-2020,Modify,Design,Immediate,N/A,N/A,N/A,N/A,Okra,Okra,N/A
1,,P-1000010_Okra Cicada 2G PCBA,, - Updated NC Drill and Pick N Place files (these were not regenerated for last release)  - Removed Assembly files as these are not generated for the other PCBs,3.0.0,3.0.1,,Modify,Documentation,Immediate,N/A,N/A,N/A,N/A,Okra,Okra,N/A
